25 25 .25
   -0.0085   -0.0257   -0.0667   -0.1464   -0.2663   -0.3859   -0.4043   -0.1986    0.2656    0.8293    1.1836    1.1015    0.6658    0.2334    0.1299    0.3796    0.7326    0.9194    0.8532    0.6249    0.3741    0.1870    0.0790    0.0285    0.0088
   -0.0110   -0.0337   -0.0890   -0.2007   -0.3804   -0.5917   -0.7212   -0.6120   -0.1886    0.4094    0.8538    0.8751    0.5283    0.1752    0.1585    0.4987    0.9185    1.1240    1.0294    0.7484    0.4463    0.2225    0.0939    0.0338    0.0105
   -0.0122   -0.0376   -0.1003   -0.2295   -0.4442   -0.7142   -0.9245   -0.9040   -0.5508    0.0212    0.4932    0.5843    0.3270    0.0635    0.1248    0.5243    0.9790    1.1941    1.0898    0.7906    0.4707    0.2345    0.0989    0.0357    0.0110
   -0.0117   -0.0363   -0.0975   -0.2247   -0.4397   -0.7188   -0.9578   -0.9929   -0.7164   -0.2156    0.2274    0.3522    0.1743   -0.0094    0.0932    0.4894    0.9208    1.1206    1.0205    0.7393    0.4398    0.2189    0.0923    0.0333    0.0103
   -0.0098   -0.0305   -0.0823   -0.1904   -0.3743   -0.6165   -0.8308   -0.8792   -0.6656   -0.2533    0.1299    0.2654    0.1547    0.0299    0.1251    0.4481    0.7923    0.9446    0.8525    0.6147    0.3648    0.1813    0.0764    0.0275    0.0085
   -0.0072   -0.0224   -0.0602   -0.1388   -0.2717   -0.4434   -0.5866   -0.5934   -0.3876   -0.0153    0.3467    0.5173    0.4742    0.3735    0.3904    0.5497    0.7236    0.7727    0.6642    0.4673    0.2735    0.1348    0.0565    0.0203    0.0063
   -0.0046   -0.0140   -0.0373   -0.0845   -0.1603   -0.2468   -0.2880   -0.1997    0.0763    0.5023    0.9314    1.1952    1.2295    1.1135    0.9781    0.8874    0.8113    0.6948    0.5271    0.3451    0.1935    0.0929    0.0383    0.0136    0.0042
   -0.0024   -0.0073   -0.0186   -0.0393   -0.0657   -0.0750   -0.0157    0.1824    0.5648    1.0959    1.6400    2.0217    2.1300    1.9790    1.6730    1.3223    0.9896    0.6963    0.4513    0.2636    0.1364    0.0619    0.0245    0.0085    0.0025
   -0.0010   -0.0028   -0.0063   -0.0098   -0.0040    0.0365    0.1595    0.4248    0.8692    1.4581    2.0652    2.5138    2.6655    2.4935    2.0838    1.5741    1.0847    0.6846    0.3951    0.2071    0.0978    0.0412    0.0154    0.0051    0.0015
   -0.0003   -0.0005   -0.0001    0.0043    0.0233    0.0804    0.2155    0.4764    0.8910    1.4299    1.9866    2.4066    2.5574    2.3980    1.9954    1.4819    0.9871    0.5920    0.3202    0.1562    0.0686    0.0270    0.0095    0.0030    0.0008
    0.0000    0.0003    0.0018    0.0077    0.0266    0.0760    0.1846    0.3859    0.6989    1.1020    1.5190    1.8363    1.9530    1.8330    1.5225    1.1225    0.7366    0.4313    0.2257    0.1057    0.0443    0.0166    0.0056    0.0017    0.0004
    0.0001    0.0004    0.0017    0.0061    0.0191    0.0516    0.1209    0.2469    0.4407    0.6894    0.9466    1.1433    1.2164    1.1421    0.9479    0.6965    0.4538    0.2626    0.1351    0.0618    0.0252    0.0092    0.0030    0.0009    0.0002
    0.0001    0.0002    0.0010    0.0035    0.0105    0.0278    0.0640    0.1292    0.2291    0.3569    0.4891    0.5904    0.6283    0.5901    0.4895    0.3590    0.2331    0.1340    0.0683    0.0309    0.0124    0.0044    0.0014    0.0004    0.0001
    0.0000    0.0001    0.0005    0.0016    0.0047    0.0123    0.0281    0.0564    0.0996    0.1549    0.2121    0.2559    0.2724    0.2558    0.2122    0.1555    0.1007    0.0577    0.0293    0.0131    0.0052    0.0018    0.0006    0.0002    0.0000
    0.0000    0.0000    0.0002    0.0006    0.0018    0.0046    0.0104    0.0208    0.0366    0.0569    0.0778    0.0939    0.1000    0.0939    0.0779    0.0570    0.0369    0.0211    0.0107    0.0048    0.0019    0.0007    0.0002    0.0001    0.0000
Covering	COLOR	0	0	128 
